Habitat,Site,Site_R,Group_Size,Prop_vig,dingo_min,eagle_min,fox_min,time_pred,Species
Open,2,3SD2,3,0.666666667,437.8666667,NA,NA,437.8666667,Dingo
Open,2,3SD2,2,0.5,520.4666667,NA,NA,520.4666667,Dingo
Open,2,3SD2,6,0.738333333,603.35,NA,NA,603.35,Dingo
Open,2,3SD2,7,0.958333333,0,1.916666664,NA,0,Dingo
Open,2,3SD2,3,0.5,200.9333333,0,NA,0,Eagle
Open,2,3SD2,6,0.541666667,417.2,0,NA,0,Eagle
Open,2,3SD2,2,0.55,12.5,127.4666667,NA,12.5,Dingo
Open,2,3SD2,5,1,0,945.9666667,NA,0,Dingo
Open,2,3SD2,4,0.775,0,972.1166667,NA,0,Dingo
Open,2,3SD2,7,0.656666667,50.05000001,1036.633333,NA,50.05000001,Dingo
Open,2,3SD2,11,0.596666667,197.7666667,1184.35,NA,197.7666667,Dingo
Open,2,3SD2,7,0.418333333,342.6333333,1329.216667,NA,342.6333333,Dingo
Open,2,3SD2,7,0.47,11.51666667,1412.233333,NA,11.51666667,Dingo
Open,2,3SD2,2,0.65,46.08333332,NA,NA,46.08333332,Dingo
Open,2,3SD2,5,0.62,84.03333333,NA,NA,84.03333333,Dingo
Open,2,3SD2,1,1,0,NA,NA,0,Dingo
Open,2,3SD2,6,0.95,0,NA,NA,0,Dingo
Open,2,3SD2,2,0.65,874.0666667,NA,NA,874.0666667,Dingo
Open,2,3SD2,6,0.396666667,914.1666667,NA,NA,914.1666667,Dingo
Open,2,3SD2,8,0.289285714,1057,NA,NA,1057,Dingo
Open,2,3SD2,4,0.575,699.5333333,NA,NA,699.5333333,Dingo
Open,2,3SD2,2,0.7,1032.433333,NA,NA,1032.433333,Dingo
Open,2,3SD2,2,0.3,NA,NA,1280.716667,1280.716667,Fox
Open,2,3SD2,2,0.3,NA,NA,425.2,425.2,Fox
Open,2,3SD2,2,0.35,NA,NA,678.9333333,678.9333333,Fox
Open,2,3SD2,2,0.3,225.8666667,NA,NA,225.8666667,Dingo
Open,2,3SD2,2,0.25,346.1166667,NA,NA,346.1166667,Dingo
Open,2,3SD2,2,0.25,437.55,NA,NA,437.55,Dingo
Open,4,3SD4,7,0.941666667,NA,0,NA,0,Eagle
Open,4,3SD4,6,0.666666667,NA,22.78333333,NA,22.78333333,Eagle
Open,4,3SD4,1,0.7,NA,0,NA,0,Eagle
Open,4,3SD4,2,0.8,NA,15.41666667,NA,15.41666667,Eagle
Open,4,3SD4,4,0.633333333,0,0,NA,0,Eagle
Open,4,3SD4,3,0.583333333,74.78333334,115.0666667,NA,74.78333334,Dingo
Open,4,3SD4,3,0.6,154.0333333,194.3166667,NA,154.0333333,Dingo
